Category,Year,Quarter,Quarterly Sales,Customer Rating,Seller Rating,Price,Discount Rate,Units Sold,Revenue,Shipping Method,Location,Advertising Cost,Date
Home & Kitchen,2019,Q3,1200.0,5.0,5.0,120.0,10.0,30.0,36000.0,Express,EU,700.0,2019-08-31
Beauty,2020,Q4,1300.0,4.0,4.0,80.0,15.0,25.0,32500.0,Standard,Asia,450.0,2020-10-31
Beauty,2020,Q4,1300.0,4.0,4.0,80.0,15.0,25.0,32500.0,Standard,Asia,450.0,2020-11-30
Electronics,2021,Q1,950.0,5.0,3.0,250.0,5.0,50.0,47500.0,Express,US,300.0,2021-01-31
Electronics,2021,Q1,950.0,5.0,3.0,250.0,5.0,50.0,47500.0,Express,US,300.0,2021-02-28
Clothing,2018,Q2,850.0,4.0,4.0,60.0,12.0,150.0,12750.0,Standard,EU,200.0,2018-04-30
Clothing,2018,Q2,850.0,4.0,4.0,60.0,12.0,150.0,12750.0,Standard,EU,200.0,2018-05-31
Books,2019,Q3,750.0,5.0,5.0,35.0,8.0,100.0,15000.0,Express,Asia,250.0,2019-07-31
Books,2019,Q3,750.0,5.0,5.0,35.0,8.0,100.0,15000.0,Express,Asia,250.0,2019-08-31
Home & Kitchen,2020,Q4,1400.0,4.0,3.0,110.0,20.0,20.0,28000.0,Standard,US,700.0,2020-10-31
Home & Kitchen,2020,Q4,1400.0,4.0,3.0,110.0,20.0,20.0,28000.0,Standard,US,700.0,2020-11-30
Beauty,2021,Q1,1050.0,5.0,4.0,90.0,18.0,60.0,63000.0,Express,EU,500.0,2021-01-31
Beauty,2021,Q1,1050.0,5.0,4.0,90.0,18.0,60.0,63000.0,Express,EU,500.0,2021-02-28
Electronics,2018,Q2,800.0,4.0,5.0,200.0,10.0,40.0,16000.0,Standard,Asia,400.0,2018-04-30
Electronics,2018,Q2,800.0,4.0,5.0,200.0,10.0,40.0,16000.0,Standard,Asia,400.0,2018-05-31
Clothing,2019,Q3,950.0,5.0,3.0,50.0,15.0,200.0,28500.0,Express,US,300.0,2019-07-31
Clothing,2019,Q3,950.0,5.0,3.0,50.0,15.0,200.0,28500.0,Express,US,300.0,2019-08-31
Books,2020,Q4,1100.0,4.0,4.0,30.0,8.0,80.0,8800.0,Standard,EU,250.0,2020-10-31
Books,2020,Q4,1100.0,4.0,4.0,30.0,8.0,80.0,8800.0,Standard,EU,250.0,2020-11-30
Home & Kitchen,2021,Q2,1200.0,5.0,5.0,120.0,12.0,25.0,30000.0,Express,Asia,700.0,2021-04-30
Home & Kitchen,2021,Q2,1200.0,5.0,5.0,120.0,12.0,25.0,30000.0,Express,Asia,700.0,2021-05-31
Beauty,2018,Q4,1000.0,4.0,3.0,80.0,20.0,30.0,30000.0,Standard,US,450.0,2018-10-31
Beauty,2018,Q4,1000.0,4.0,3.0,80.0,20.0,30.0,30000.0,Standard,US,450.0,2018-11-30
Electronics,2019,Q1,900.0,5.0,4.0,220.0,8.0,25.0,22500.0,Express,EU,600.0,2019-01-31
Electronics,2019,Q1,900.0,5.0,4.0,220.0,8.0,25.0,22500.0,Express,EU,600.0,2019-02-28
Clothing,2020,Q3,750.0,4.0,5.0,55.0,18.0,120.0,9000.0,Standard,Asia,300.0,2020-07-31
Clothing,2020,Q3,750.0,4.0,5.0,55.0,18.0,120.0,9000.0,Standard,Asia,300.0,2020-08-31
Books,2021,Q2,1400.0,5.0,3.0,35.0,15.0,60.0,21679.0,Express,US,500.0,2021-04-30
Books,2021,Q2,1400.0,5.0,3.0,35.0,15.0,60.0,21679.0,Express,US,500.0,2021-05-31
Home & Kitchen,2018,Q4,1100.0,4.0,4.0,100.0,10.0,50.0,55000.0,Standard,EU,450.0,2018-10-31
Home & Kitchen,2018,Q4,1100.0,4.0,4.0,100.0,10.0,50.0,55000.0,Standard,EU,450.0,2018-11-30
Beauty,2019,Q1,800.0,5.0,5.0,70.0,12.0,30.0,24000.0,Express,Asia,400.0,2019-01-31
Beauty,2019,Q1,800.0,5.0,5.0,70.0,12.0,30.0,24000.0,Express,Asia,400.0,2019-02-28
Electronics,2020,Q3,950.0,4.0,3.0,200.0,15.0,25.0,23750.0,Standard,US,600.0,2020-07-31
Electronics,2020,Q3,950.0,4.0,3.0,200.0,15.0,25.0,23750.0,Standard,US,600.0,2020-08-31
Clothing,2021,Q2,700.0,5.0,4.0,60.0,8.0,150.0,10500.0,Express,EU,300.0,2021-04-30
Clothing,2021,Q2,700.0,5.0,4.0,60.0,8.0,150.0,10500.0,Express,EU,300.0,2021-05-31
Books,2018,Q4,1200.0,4.0,5.0,30.0,5.0,80.0,9600.0,Standard,Asia,250.0,2018-10-31
Books,2018,Q4,1200.0,4.0,5.0,30.0,5.0,80.0,9600.0,Standard,Asia,250.0,2018-11-30
Home & Kitchen,2019,Q1,1300.0,5.0,3.0,110.0,20.0,20.0,26000.0,Express,US,800.0,2019-01-31
Home & Kitchen,2019,Q1,1300.0,5.0,3.0,110.0,20.0,20.0,26000.0,Express,US,800.0,2019-02-28
Beauty,2020,Q3,1100.0,4.0,4.0,90.0,18.0,50.0,55000.0,Standard,EU,450.0,2020-07-31
Beauty,2020,Q3,1100.0,4.0,4.0,90.0,18.0,50.0,55000.0,Standard,EU,450.0,2020-08-31
Electronics,2021,Q2,950.0,5.0,3.0,250.0,12.0,25.0,23750.0,Express,Asia,400.0,2021-04-30
Electronics,2021,Q2,950.0,5.0,3.0,250.0,12.0,25.0,23750.0,Express,Asia,400.0,2021-05-31
Clothing,2018,Q4,850.0,4.0,4.0,60.0,8.0,100.0,42500.0,Standard,US,300.0,2018-10-31
Clothing,2018,Q4,850.0,4.0,4.0,60.0,8.0,100.0,42500.0,Standard,US,300.0,2018-11-30
Books,2019,Q1,750.0,5.0,5.0,35.0,10.0,100.0,15000.0,Express,EU,200.0,2019-01-31
Books,2019,Q1,750.0,5.0,5.0,35.0,10.0,100.0,15000.0,Express,EU,200.0,2019-02-28
Home & Kitchen,2020,Q3,1400.0,4.0,3.0,110.0,15.0,35.0,49000.0,Standard,Asia,700.0,2020-07-31
Home & Kitchen,2020,Q3,1400.0,4.0,3.0,110.0,15.0,35.0,49000.0,Standard,Asia,700.0,2020-08-31
Beauty,2021,Q2,1050.0,5.0,4.0,90.0,20.0,60.0,63000.0,Express,US,500.0,2021-04-30
Beauty,2021,Q2,1050.0,5.0,4.0,90.0,20.0,60.0,63000.0,Express,US,500.0,2021-05-31
Electronics,2018,Q4,800.0,4.0,5.0,200.0,8.0,20.0,16000.0,Standard,EU,400.0,2018-10-31
Electronics,2018,Q4,800.0,4.0,5.0,200.0,8.0,20.0,16000.0,Standard,EU,400.0,2018-11-30
Clothing,2019,Q1,950.0,5.0,4.0,50.0,12.0,180.0,10800.0,Express,Asia,250.0,2019-01-31
Clothing,2019,Q1,950.0,5.0,4.0,50.0,12.0,180.0,10800.0,Express,Asia,250.0,2019-02-28
Books,2020,Q3,1100.0,4.0,3.0,30.0,18.0,40.0,44000.0,Standard,US,300.0,2020-07-31
Books,2020,Q3,1100.0,4.0,3.0,30.0,18.0,40.0,44000.0,Standard,US,300.0,2020-08-31
Home & Kitchen,2021,Q2,1200.0,5.0,5.0,120.0,10.0,30.0,36000.0,Express,EU,700.0,2021-04-30
Home & Kitchen,2021,Q2,1200.0,5.0,5.0,120.0,10.0,30.0,36000.0,Express,EU,700.0,2021-05-31
Beauty,2018,Q4,1000.0,4.0,3.0,80.0,18.0,60.0,63000.0,Standard,Asia,450.0,2018-10-31
Beauty,2018,Q4,1000.0,4.0,3.0,80.0,18.0,60.0,63000.0,Standard,Asia,450.0,2018-11-30
Clothing,2019,Q3,800.0,5.0,4.0,50.0,5.0,200.0,16000.0,Express,EU,200.0,2019-07-31
Clothing,2019,Q3,800.0,5.0,4.0,50.0,5.0,200.0,16000.0,Express,EU,200.0,2019-08-31
Books,2020,Q2,600.0,4.0,3.0,30.0,15.0,100.0,6000.0,Standard,Asia,300.0,2020-04-30
Books,2020,Q2,600.0,4.0,3.0,30.0,15.0,100.0,6000.0,Standard,Asia,300.0,2020-05-31
Home & Kitchen,2021,Q1,1500.0,5.0,5.0,120.0,8.0,30.0,45000.0,Express,US,700.0,2021-01-31
Home & Kitchen,2021,Q1,1500.0,5.0,5.0,120.0,8.0,30.0,45000.0,Express,US,700.0,2021-02-28
Beauty,2018,Q4,1000.0,4.0,4.0,80.0,12.0,40.0,40000.0,Standard,EU,400.0,2018-10-31
Beauty,2018,Q4,1000.0,4.0,4.0,80.0,12.0,40.0,40000.0,Standard,EU,400.0,2018-11-30
Electronics,2019,Q3,1100.0,3.0,4.0,250.0,20.0,30.0,22000.0,Express,Asia,600.0,2019-07-31
Electronics,2019,Q3,1100.0,3.0,4.0,250.0,20.0,30.0,22000.0,Express,Asia,600.0,2019-08-31
Clothing,2020,Q2,750.0,5.0,5.0,60.0,10.0,150.0,11250.0,Standard,US,300.0,2020-04-30
Clothing,2020,Q2,750.0,5.0,5.0,60.0,10.0,150.0,11250.0,Standard,US,300.0,2020-05-31
Books,2021,Q1,900.0,4.0,3.0,35.0,8.0,80.0,7200.0,Express,EU,250.0,2021-01-31
Books,2021,Q1,900.0,4.0,3.0,35.0,8.0,80.0,7200.0,Express,EU,250.0,2021-02-28
Home & Kitchen,2018,Q4,1400.0,5.0,4.0,110.0,15.0,25.0,35000.0,Standard,Asia,800.0,2018-10-31
Home & Kitchen,2018,Q4,1400.0,5.0,4.0,110.0,15.0,25.0,35000.0,Standard,Asia,800.0,2018-11-30
Beauty,2019,Q3,950.0,4.0,3.0,70.0,12.0,45.0,42750.0,Express,US,350.0,2019-07-31
Beauty,2019,Q3,950.0,4.0,3.0,70.0,12.0,45.0,42750.0,Express,US,350.0,2019-08-31
Electronics,2020,Q2,1300.0,4.0,5.0,180.0,10.0,60.0,27880.0,Standard,EU,450.0,2020-04-30
Electronics,2020,Q2,1300.0,4.0,5.0,180.0,10.0,60.0,27880.0,Standard,EU,450.0,2020-05-31
Clothing,2021,Q1,820.0,5.0,4.0,55.0,5.0,180.0,14760.0,Express,Asia,200.0,2021-01-31
Clothing,2021,Q1,820.0,5.0,4.0,55.0,5.0,180.0,14760.0,Express,Asia,200.0,2021-02-28
Books,2018,Q4,580.0,3.0,3.0,40.0,18.0,90.0,5220.0,Standard,US,150.0,2018-10-31
Books,2018,Q4,580.0,3.0,3.0,40.0,18.0,90.0,5220.0,Standard,US,150.0,2018-11-30
Home & Kitchen,2019,Q3,1200.0,4.0,4.0,100.0,12.0,40.0,48000.0,Express,EU,500.0,2019-07-31
Home & Kitchen,2019,Q3,1200.0,4.0,4.0,100.0,12.0,40.0,48000.0,Express,EU,500.0,2019-08-31
Beauty,2020,Q2,880.0,5.0,5.0,75.0,8.0,30.0,26400.0,Standard,Asia,300.0,2020-04-30
Beauty,2020,Q2,880.0,5.0,5.0,75.0,8.0,30.0,26400.0,Standard,Asia,300.0,2020-05-31
Electronics,2021,Q1,1100.0,4.0,3.0,220.0,15.0,20.0,22000.0,Express,US,700.0,2021-01-31
Electronics,2021,Q1,1100.0,4.0,3.0,220.0,15.0,20.0,22000.0,Express,US,700.0,2021-02-28
Clothing,2018,Q4,700.0,5.0,4.0,45.0,10.0,120.0,8400.0,Standard,EU,250.0,2018-10-31
Clothing,2018,Q4,700.0,5.0,4.0,45.0,10.0,120.0,8400.0,Standard,EU,250.0,2018-11-30
Books,2019,Q3,950.0,4.0,3.0,33.0,12.0,60.0,5700.0,Express,Asia,180.0,2019-07-31
Books,2019,Q3,950.0,4.0,3.0,33.0,12.0,60.0,5700.0,Express,Asia,180.0,2019-08-31
Home & Kitchen,2020,Q4,1400.0,5.0,5.0,120.0,5.0,35.0,49000.0,Standard,US,800.0,2020-10-31
Home & Kitchen,2020,Q4,1400.0,5.0,5.0,120.0,5.0,35.0,49000.0,Standard,US,800.0,2020-11-30
Beauty,2021,Q1,980.0,4.0,3.0,60.0,8.0,50.0,49000.0,Express,EU,400.0,2021-01-31
Beauty,2021,Q1,980.0,4.0,3.0,60.0,8.0,50.0,49000.0,Express,EU,400.0,2021-02-28
Electronics,2018,Q2,1250.0,5.0,4.0,200.0,15.0,45.0,56250.0,Standard,Asia,600.0,2018-04-30
Electronics,2018,Q2,1250.0,5.0,4.0,200.0,15.0,45.0,56250.0,Standard,Asia,600.0,2018-05-31
Clothing,2019,Q3,820.0,3.0,3.0,50.0,10.0,80.0,32800.0,Express,US,250.0,2019-07-31
Clothing,2019,Q3,820.0,3.0,3.0,50.0,10.0,80.0,32800.0,Express,US,250.0,2019-08-31
Books,2020,Q4,700.0,4.0,4.0,40.0,5.0,150.0,10500.0,Standard,EU,200.0,2020-10-31
Books,2020,Q4,700.0,4.0,4.0,40.0,5.0,150.0,10500.0,Standard,EU,200.0,2020-11-30
Home & Kitchen,2021,Q1,1600.0,5.0,5.0,130.0,8.0,20.0,32000.0,Express,Asia,900.0,2021-01-31
Home & Kitchen,2021,Q1,1600.0,5.0,5.0,130.0,8.0,20.0,32000.0,Express,Asia,900.0,2021-02-28
Beauty,2018,Q2,1050.0,4.0,3.0,75.0,12.0,30.0,31500.0,Standard,US,350.0,2018-04-30
Beauty,2018,Q2,1050.0,4.0,3.0,75.0,12.0,30.0,31500.0,Standard,US,350.0,2018-05-31
Electronics,2019,Q3,950.0,5.0,4.0,230.0,18.0,25.0,23750.0,Express,EU,500.0,2019-07-31
Electronics,2019,Q3,950.0,5.0,4.0,230.0,18.0,25.0,23750.0,Express,EU,500.0,2019-08-31
Clothing,2020,Q4,680.0,4.0,3.0,55.0,8.0,70.0,4760.0,Standard,Asia,150.0,2020-10-31
Clothing,2020,Q4,680.0,4.0,3.0,55.0,8.0,70.0,4760.0,Standard,Asia,150.0,2020-11-30
Books,2021,Q1,880.0,5.0,5.0,38.0,12.0,60.0,5280.0,Express,US,200.0,2021-01-31
Books,2021,Q1,880.0,5.0,5.0,38.0,12.0,60.0,5280.0,Express,US,200.0,2021-02-28
Home & Kitchen,2018,Q2,1300.0,4.0,3.0,90.0,15.0,25.0,32500.0,Standard,EU,600.0,2018-04-30
Home & Kitchen,2018,Q2,1300.0,4.0,3.0,90.0,15.0,25.0,32500.0,Standard,EU,600.0,2018-05-31
Beauty,2019,Q3,1100.0,5.0,5.0,80.0,10.0,40.0,44000.0,Express,Asia,400.0,2019-07-31
Beauty,2019,Q3,1100.0,5.0,5.0,80.0,10.0,40.0,44000.0,Express,Asia,400.0,2019-08-31
